482428737,Howie Sebert,Guanacaste
670106829,Shelagh Karby,Heredia
684061209,Lyndell Balden,Alajuela
215560387,Robinson Boylund,Alajuela
726102618,Felicle Moakes,Limon
343729814,Lucho Clapp,Guanacaste
321135388,Hayley Kimberley,Cartago
424482861,Blisse Crabbe,Heredia
221471342,Aldis Yerrall,Guanacaste
508411730,Chrystel Horribine,San Jose
431616711,Tessi Ridgeway,San Jose
799256246,Kaylyn Mulqueen,Guanacaste
349549806,Florri Laxson,Cartago
213897428,Bendite Canelas,Guanacaste
550637530,Babita Durtnall,Limon
500730912,Keri Meeke,Heredia
242745040,Roseanne Cotterrill,Guanacaste
810726820,Nathalie Hendrickx,Guanacaste
451473854,Jeddy Tardiff,Alajuela
840832993,Abel McGerr,Puntarenas
